ACK/KA/RERA/1273/318/PR/160424/008044,ACK/KA/RERA/1273/318/PR/160424/008044,PRM/KA/RERA/1273/318/PR/180424/006807,SHREE MAHALASA DURGASHREE ATRIUM,DURGASHREE DEVELOPERS;
ACK/KA/RERA/1257/333/PR/160424/008043,ACK/KA/RERA/1257/333/PR/160424/008043,PRM/KA/RERA/1257/333/PR/040524/006856,FOURWALLS AARAMBH,FOURWALLS BUILDERS  DEVELOPERS;
ACK/KA/RERA/1268/378/PR/150424/008042,ACK/KA/RERA/1268/378/PR/150424/008042,PRM/KA/RERA/1268/378/PR/040524/006868,PUNARVASU PHASE-II,LAKSHMI SHIVAKUMAR;
ACK/KA/RERA/1251/308/PR/150424/008041,ACK/KA/RERA/1251/308/PR/150424/008041,PRM/KA/RERA/1251/308/PR/210524/006923,ORACLE SUNRISE,VIJAYA BHASKARA CONSTRUCTIONS;
ACK/KA/RERA/1251/446/PR/130424/008039,ACK/KA/RERA/1251/446/PR/130424/008039,PRM/KA/RERA/1251/446/PR/150524/006874,MYHNA ORCHID,MYHNA ESTATE PROJECTS;
ACK/KA/RERA/1257/334/PR/130424/008038,ACK/KA/RERA/1257/334/PR/130424/008038,PRM/KA/RERA/1257/334/PR/220424/006823,SYNERGY,Land Trades Builders and Developers;
ACK/KA/RERA/1251/308/PR/130424/008037,ACK/KA/RERA/1251/308/PR/130424/008037,PRM/KA/RERA/1251/308/PR/040524/006852,GREEN CITY 3.0,SRIPARVATA AND BEST REALTY;
ACK/KA/RERA/1251/446/PR/120424/008036,ACK/KA/RERA/1251/446/PR/120424/008036,PRM/KA/RERA/1251/446/PR/210524/006924,VAISHNO SERENE,VAISHNO BUILDERS;
ACK/KA/RERA/1251/309/PR/120424/008033,ACK/KA/RERA/1251/309/PR/120424/008033,PRM/KA/RERA/1251/309/PR/210524/006922,IRIS Courtyard,M/s. IRIS LIFESCAPES;
ACK/KA/RERA/1249/369/PR/120424/008032,ACK/KA/RERA/1249/369/PR/120424/008032,PRM/KA/RERA/1249/369/PR/240724/006949,SAI COLONY,Mr. JAFARKHAN GULABSAB NADAF;
ACK/KA/RERA/1250/304/PR/120424/008031,ACK/KA/RERA/1250/304/PR/120424/008031,PRM/KA/RERA/1250/304/PR/030524/006836,ISHA HILIFE,ISHA CORP;
ACK/KA/RERA/1251/472/PR/120424/008030,ACK/KA/RERA/1251/472/PR/120424/008030,PRM/KA/RERA/1251/472/PR/220424/006824,SRI RAMA ENCLAVE,MEGA INFRA;
ACK/KA/RERA/1249/447/PR/110424/008029,ACK/KA/RERA/1249/447/PR/110424/008029,PRM/KA/RERA/1249/447/PR/030524/006838,CHIRAYU RESIDENCY,CHIRAYU BUILDERS;
ACK/KA/RERA/1250/301/PR/100424/008027,ACK/KA/RERA/1250/301/PR/100424/008027,PRM/KA/RERA/1250/301/PR/150724/006939,Century Eden Phase 5,Geetanjali Effective Realty Solutions Private Limited;
ACK/KA/RERA/1251/446/PR/100424/008026,ACK/KA/RERA/1251/446/PR/100424/008026,PRM/KA/RERA/1251/446/PR/180424/006808,Vaswani Starlight,Vaswani Estates Developers Private Limited;
ACK/KA/RERA/1271/291/PR/100424/008025,ACK/KA/RERA/1271/291/PR/100424/008025,PRM/KA/RERA/1271/291/PR/030524/006843,Construction of 2048 houses at Bhadravathi,Commissioner ;
ACK/KA/RERA/1251/446/PR/100424/008024,ACK/KA/RERA/1251/446/PR/100424/008024,PRM/KA/RERA/1251/446/PR/220424/006831,Green Edge Signature,Green Edge Ventures;
ACK/KA/RERA/1251/309/PR/090424/008023,ACK/KA/RERA/1251/309/PR/090424/008023,PRM/KA/RERA/1251/309/PR/220424/006825,URBAN ELITE,URBAN ELITE;
ACK/KA/RERA/1270/302/PR/080424/008022,ACK/KA/RERA/1270/302/PR/080424/008022,PRM/KA/RERA/1270/302/PR/190424/006815,Landmark - With the Rising Sun,Landmark Enterprises;
ACK/KA/RERA/1257/334/PR/070424/008021,ACK/KA/RERA/1257/334/PR/070424/008021,PRM/KA/RERA/1257/334/PR/170524/006885,KONARK HOMES,ARNAVA BUILDERS AND DEVELOPERS ;
ACK/KA/RERA/1250/307/PR/060424/008020,ACK/KA/RERA/1250/307/PR/060424/008020,PRM/KA/RERA/1250/307/PR/040524/006863,Green Groves,SATTVA INFRASTRUCTURE INDIA PRIVATE LIMITED;
ACK/KA/RERA/1250/303/PR/060424/008017,ACK/KA/RERA/1250/303/PR/060424/008017,PRM/KA/RERA/1250/303/PR/190424/006816,SIGNATURE ONE,THEME AMBIENCE ROI PROJECTS PRIVATE LIMITED;
ACK/KA/RERA/1257/334/PR/040424/008011,ACK/KA/RERA/1257/334/PR/040424/008011,PRM/KA/RERA/1257/334/PR/040524/006857,Atharva Kanishka,Atharva builders and developers;
ACK/KA/RERA/1259/479/PR/030424/008010,ACK/KA/RERA/1259/479/PR/030424/008010,PRM/KA/RERA/1259/479/PR/180424/006806,construction of 1248 houses  at Hubli,Commissioner;
ACK/KA/RERA/1251/310/PR/030424/008009,ACK/KA/RERA/1251/310/PR/030424/008009,PRM/KA/RERA/1251/310/PR/210524/006925,Sanjeevini II,MBSR Infrastructure Pvt. Ltd.;
ACK/KA/RERA/1257/336/PR/030424/008008,ACK/KA/RERA/1257/336/PR/030424/008008,PRM/KA/RERA/1257/336/PR/180424/006784,THE LEGACY,GRA INFRASTRUCTURE;
ACK/KA/RERA/1259/479/PR/020424/008005,ACK/KA/RERA/1259/479/PR/020424/008005,PRM/KA/RERA/1259/479/PR/180424/006804,construction of 784 houses at Hubli,Commissioner;
ACK/KA/RERA/1251/308/PR/020424/008004,ACK/KA/RERA/1251/308/PR/020424/008004,PRM/KA/RERA/1251/308/PR/220424/006822,CASA LIFE BY BHAVISHA HOMES,BHAVISHA PROPERTIES;
ACK/KA/RERA/1251/446/PR/010424/008002,ACK/KA/RERA/1251/446/PR/010424/008002,PRM/KA/RERA/1251/446/PR/180424/006788,SAI SILICON HEIGHTS,United Developers;
ACK/KA/RERA/1261/317/PR/310324/008001,ACK/KA/RERA/1261/317/PR/310324/008001,PRM/KA/RERA/1261/317/PR/040524/006851,One with the Nature,Golden Ratio Developers Private Limited;
ACK/KA/RERA/1251/446/PR/300324/007999,ACK/KA/RERA/1251/446/PR/300324/007999,PRM/KA/RERA/1251/446/PR/170524/006883,Century Regalia Project 1,Suruchi Properties Private Limited;
ACK/KA/RERA/1251/446/PR/290324/007997,ACK/KA/RERA/1251/446/PR/290324/007997,PRM/KA/RERA/1251/446/PR/060424/006781,RADIANCE FLORESTA,RADIANCE REALTY DEVELOPERS INDIA LIMITED;
ACK/KA/RERA/1251/446/PR/290324/007996,ACK/KA/RERA/1251/446/PR/290324/007996,PRM/KA/RERA/1251/446/PR/040524/006858,SRINIDHI-THE URBAN SUITES,SRINIDHI DESIGNBUILD PRIVATE LIMITED;
ACK/KA/RERA/1248/469/PR/280324/007990,ACK/KA/RERA/1248/469/PR/280324/007990,PRM/KA/RERA/1248/469/PR/080824/006963,SUVARNA THE GOLDEN GATE,N SUVARNA;
ACK/KA/RERA/1251/446/PR/270324/007989,ACK/KA/RERA/1251/446/PR/270324/007989,PRM/KA/RERA/1251/446/PR/040524/006854,Prestige Tech Forest,PRESTIGE FALCON BUSINESS PARKS;
ACK/KA/RERA/1270/302/PR/270324/007988,ACK/KA/RERA/1270/302/PR/270324/007988,PRM/KA/RERA/1270/302/PR/190424/006814,Landmark Under the Tree 2.0,LANDMARK ENTERPRISES;
ACK/KA/RERA/1251/446/PR/260324/007987,ACK/KA/RERA/1251/446/PR/260324/007987,PRM/KA/RERA/1251/446/PR/280324/006768,CASAGRAND REGAL,CASA GRANDE GARDEN CITY BUILDERS PVT LTD;
